ESR Covid-19 Dashboard,,,,,,,,,,,,,
Data downloaded: 05/02/2021 20:21,,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Region,Daily imported cases,Daily import-related cases,Daily locally acquired cases  epidemiologically linked,Daily locally acquired cases  unknown source,Daily under investigation,Daily total cases,Cumulative imported cases,Cumulative import-related cases,Cumulative locally acquired cases  epidemiologically linked,Cumulative locally acquired cases  unknown source,Cumulative under investigation,Cumulative total cases
22/01/2021,Lakes,0,0,0,0,0,0,12,2,0,2,0,16
22/01/2021,Midcentral,0,0,0,0,0,0,20,6,6,0,0,32
22/01/2021,Nelson Marlborough,0,0,0,0,0,0,27,15,4,4,0,50
22/01/2021,Northland,0,0,0,0,0,0,12,7,4,5,0,28
22/01/2021,South Canterbury,0,0,0,0,0,0,5,2,4,6,0,17
22/01/2021,Southern,0,0,0,0,0,0,52,131,14,19,0,216
22/01/2021,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
22/01/2021,Taranaki,0,0,0,0,0,0,14,2,0,0,0,16
22/01/2021,Waikato,0,0,0,0,0,0,59,133,4,2,0,198
22/01/2021,Wairarapa,0,0,0,0,0,0,4,3,0,1,0,8
22/01/2021,Waitemata,0,0,0,0,0,0,86,32,170,9,0,297
22/01/2021,West Coast,0,0,0,0,0,0,1,1,1,2,0,5
22/01/2021,Whanganui,0,0,0,0,0,0,7,0,0,2,0,9
21/01/2021,Auckland,1,0,0,0,0,1,268,26,119,13,0,426
21/01/2021,Bay of Plenty,0,0,0,0,0,0,22,16,5,5,0,48
21/01/2021,Canterbury,0,0,0,0,0,0,200,18,99,8,0,325
21/01/2021,Capital and Coast,0,0,0,0,0,0,56,38,4,1,0,99
21/01/2021,Counties Manukau,3,0,0,0,0,3,250,29,118,15,0,412
21/01/2021,Hawke's Bay,0,0,0,0,0,0,21,14,8,1,0,44
21/01/2021,Hutt Valley,0,0,0,0,0,0,14,8,2,0,0,24
21/01/2021,Lakes,0,0,0,0,0,0,12,2,0,2,0,16
21/01/2021,Midcentral,0,0,0,0,0,0,20,6,6,0,0,32
21/01/2021,Nelson Marlborough,0,0,0,0,0,0,27,15,4,4,0,50
21/01/2021,Northland,0,0,0,0,0,0,12,7,4,5,0,28
21/01/2021,South Canterbury,0,0,0,0,0,0,5,2,4,6,0,17
21/01/2021,Southern,0,0,0,0,0,0,52,131,14,19,0,216
21/01/2021,Tairawhiti,0,0,0,0,0,0,2,2,0,0,0,4
21/01/2021,Taranaki,0,0,0,0,0,0,14,2,0,0,0,16
21/01/2021,Waikato,0,0,0,0,0,0,59,133,4,2,0,198
21/01/2021,Wairarapa,0,0,0,0,0,0,4,3,0,1,0,8
21/01/2021,Waitemata,0,0,0,0,0,0,86,32,170,9,0,297
21/01/2021,West Coast,0,0,0,0,0,0,1,1,1,2,0,5
21/01/2021,Whanganui,0,0,0,0,0,0,7,0,0,2,0,9
20/01/2021,Auckland,0,0,0,0,0,0,267,26,119,13,0,425
